#organism_name	refseq_category	assembly_level	ftp_genome
Methanococcus_voltae	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/175/GCF_000006175.1_ASM617v2/GCF_000006175.1_ASM617v2_genomic.fna.gz
Plasmodium_knowlesi	representative genome	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/355/GCF_000006355.1_ASM635v1/GCF_000006355.1_ASM635v1_genomic.fna.gz
Debaryomyces_hansenii	representative genome	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/445/GCF_000006445.2_ASM644v2/GCF_000006445.2_ASM644v2_genomic.fna.gz
Toxoplasma_gondii	representative genome	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/565/GCF_000006565.2_TGA4/GCF_000006565.2_TGA4_genomic.fna.gz
Chlorobaculum_tepidum	reference genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/985/GCF_000006985.1_ASM698v1/GCF_000006985.1_ASM698v1_genomic.fna.gz
Rickettsia_conorii	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/025/GCF_000007025.1_ASM702v1/GCF_000007025.1_ASM702v1_genomic.fna.gz
Methanopyrus_kandleri	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/185/GCF_000007185.1_ASM718v1/GCF_000007185.1_ASM718v1_genomic.fna.gz
Pyrococcus_furiosus	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/305/GCF_000007305.1_ASM730v1/GCF_000007305.1_ASM730v1_genomic.fna.gz
Tropheryma_whipplei	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/485/GCF_000007485.1_ASM748v1/GCF_000007485.1_ASM748v1_genomic.fna.gz
Chlamydia_caviae	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/605/GCF_000007605.1_ASM760v1/GCF_000007605.1_ASM760v1_genomic.fna.gz
Helicobacter_hepaticus	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/905/GCF_000007905.1_ASM790v1/GCF_000007905.1_ASM790v1_genomic.fna.gz
Picrophilus_torridus	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/265/GCF_000008265.1_ASM826v1/GCF_000008265.1_ASM826v1_genomic.fna.gz
Methylococcus_capsulatus	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/325/GCF_000008325.1_ASM832v1/GCF_000008325.1_ASM832v1_genomic.fna.gz
Mycoplasma_mobile	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/365/GCF_000008365.1_ASM836v1/GCF_000008365.1_ASM836v1_genomic.fna.gz
Aquifex_aeolicus	reference genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/625/GCF_000008625.1_ASM862v1/GCF_000008625.1_ASM862v1_genomic.fna.gz
Methanothermobacter_thermautotrophicus	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/645/GCF_000008645.1_ASM864v1/GCF_000008645.1_ASM864v1_genomic.fna.gz
Wigglesworthia_glossinidia	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/885/GCF_000008885.1_ASM888v1/GCF_000008885.1_ASM888v1_genomic.fna.gz
Haloquadratum_walsbyi	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/865/GCF_000237865.1_ASM23786v1/GCF_000237865.1_ASM23786v1_genomic.fna.gz
Alcanivorax_borkumensis	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/365/GCF_000009365.1_ASM936v1/GCF_000009365.1_ASM936v1_genomic.fna.gz
Nostoc_sp_PCC_7120	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/705/GCF_000009705.1_ASM970v1/GCF_000009705.1_ASM970v1_genomic.fna.gz
Symbiobacterium_thermophilum	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/905/GCF_000009905.1_ASM990v1/GCF_000009905.1_ASM990v1_genomic.fna.gz
Chlamydia_felis	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/945/GCF_000009945.1_ASM994v1/GCF_000009945.1_ASM994v1_genomic.fna.gz
Thermococcus_kodakarensis	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/965/GCF_000009965.1_ASM996v1/GCF_000009965.1_ASM996v1_genomic.fna.gz
Magnetospirillum_magneticum	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/985/GCF_000009985.1_ASM998v1/GCF_000009985.1_ASM998v1_genomic.fna.gz
Synechococcus_elongatus	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/065/GCF_000010065.1_ASM1006v1/GCF_000010065.1_ASM1006v1_genomic.fna.gz
Sodalis_glossinidius	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/085/GCF_000010085.1_ASM1008v1/GCF_000010085.1_ASM1008v1_genomic.fna.gz
Gemmatimonas_aurantiaca	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/305/GCF_000010305.1_ASM1030v1/GCF_000010305.1_ASM1030v1_genomic.fna.gz
Nitratiruptor_sp_SB155_2	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/325/GCF_000010325.1_ASM1032v1/GCF_000010325.1_ASM1032v1_genomic.fna.gz
Sulfurovum_sp_NBC37_1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/345/GCF_000010345.1_ASM1034v1/GCF_000010345.1_ASM1034v1_genomic.fna.gz
Candidatus_Carsonella_ruddii	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/365/GCF_000010365.1_ASM1036v1/GCF_000010365.1_ASM1036v1_genomic.fna.gz
Azorhizobium_caulinodans	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/525/GCF_000010525.1_ASM1052v1/GCF_000010525.1_ASM1052v1_genomic.fna.gz
Microcystis_aeruginosa	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/625/GCF_000010625.1_ASM1062v1/GCF_000010625.1_ASM1062v1_genomic.fna.gz
Desulfovibrio_magneticus	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/665/GCF_000010665.1_ASM1066v1/GCF_000010665.1_ASM1066v1_genomic.fna.gz
Hydrogenobacter_thermophilus	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/785/GCF_000010785.1_ASM1078v1/GCF_000010785.1_ASM1078v1_genomic.fna.gz
Deferribacter_desulfuricans	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/985/GCF_000010985.1_ASM1098v1/GCF_000010985.1_ASM1098v1_genomic.fna.gz
Methanocella_paludicola	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/005/GCF_000011005.1_ASM1100v1/GCF_000011005.1_ASM1100v1_genomic.fna.gz
Haloarcula_marismortui	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/085/GCF_000011085.1_ASM1108v1/GCF_000011085.1_ASM1108v1_genomic.fna.gz
Pyrococcus_horikoshii	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/105/GCF_000011105.1_ASM1110v1/GCF_000011105.1_ASM1110v1_genomic.fna.gz
Thermoplasma_volcanium	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/185/GCF_000011185.1_ASM1118v1/GCF_000011185.1_ASM1118v1_genomic.fna.gz
Sulfurisphaera_tokodaii	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/205/GCF_000011205.1_ASM1120v1/GCF_000011205.1_ASM1120v1_genomic.fna.gz
Corynebacterium_efficiens	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/305/GCF_000011305.1_ASM1130v1/GCF_000011305.1_ASM1130v1_genomic.fna.gz
Thermosynechococcus_elongatus	reference genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/345/GCF_000011345.1_ASM1134v1/GCF_000011345.1_ASM1134v1_genomic.fna.gz
Gloeobacter_violaceus	reference genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/385/GCF_000011385.1_ASM1138v1/GCF_000011385.1_ASM1138v1_genomic.fna.gz
Mycoplasma_mycoides	reference genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/445/GCF_000011445.1_ASM1144v1/GCF_000011445.1_ASM1144v1_genomic.fna.gz
Candidatus_Blochmannia_pennsylvanicus	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/745/GCF_000011745.1_ASM1174v1/GCF_000011745.1_ASM1174v1_genomic.fna.gz
Ruegeria_pomeroyi	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/965/GCF_000011965.2_ASM1196v2/GCF_000011965.2_ASM1196v2_genomic.fna.gz
Psychrobacter_arcticus	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/305/GCF_000012305.1_ASM1230v1/GCF_000012305.1_ASM1230v1_genomic.fna.gz
Dechloromonas_aromatica	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/425/GCF_000012425.1_ASM1242v1/GCF_000012425.1_ASM1242v1_genomic.fna.gz
Pelodictyon_luteolum	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/485/GCF_000012485.1_ASM1248v1/GCF_000012485.1_ASM1248v1_genomic.fna.gz
Synechococcus_sp_CC9902	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/505/GCF_000012505.1_ASM1250v1/GCF_000012505.1_ASM1250v1_genomic.fna.gz
Chlorobium_chlorochromatii	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/585/GCF_000012585.1_ASM1258v1/GCF_000012585.1_ASM1258v1_genomic.fna.gz
Synechococcus_sp_CC9605	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/625/GCF_000012625.1_ASM1262v1/GCF_000012625.1_ASM1262v1_genomic.fna.gz
Desulfovibrio_alaskensis	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/665/GCF_000012665.1_ASM1266v1/GCF_000012665.1_ASM1266v1_genomic.fna.gz
Mycoplasma_capricolum	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/765/GCF_000012765.1_ASM1276v1/GCF_000012765.1_ASM1276v1_genomic.fna.gz
Carboxydothermus_hydrogenoformans	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/865/GCF_000012865.1_ASM1286v1/GCF_000012865.1_ASM1286v1_genomic.fna.gz
Pelobacter_carbinolicus	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/885/GCF_000012885.1_ASM1288v1/GCF_000012885.1_ASM1288v1_genomic.fna.gz
Geobacter_metallireducens	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/925/GCF_000012925.1_ASM1292v1/GCF_000012925.1_ASM1292v1_genomic.fna.gz
Burkholderia_lata	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/945/GCF_000012945.1_ASM1294v1/GCF_000012945.1_ASM1294v1_genomic.fna.gz
Sulfurimonas_denitrificans	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/965/GCF_000012965.1_ASM1296v1/GCF_000012965.1_ASM1296v1_genomic.fna.gz
Hahella_chejuensis	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/985/GCF_000012985.1_ASM1298v1/GCF_000012985.1_ASM1298v1_genomic.fna.gz
Hyphomonas_neptunium	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/025/GCF_000013025.1_ASM1302v1/GCF_000013025.1_ASM1302v1_genomic.fna.gz
Rhodospirillum_rubrum	reference genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/085/GCF_000013085.1_ASM1308v1/GCF_000013085.1_ASM1308v1_genomic.fna.gz
Ehrlichia_chaffeensis	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/145/GCF_000013145.1_ASM1314v1/GCF_000013145.1_ASM1314v1_genomic.fna.gz
Neorickettsia_sennetsu	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/165/GCF_000013165.1_ASM1316v1/GCF_000013165.1_ASM1316v1_genomic.fna.gz
Synechococcus_sp_JA_3_3Ab	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/205/GCF_000013205.1_ASM1320v1/GCF_000013205.1_ASM1320v1_genomic.fna.gz
Synechococcus_sp_JA_2_3B'a(2_13)	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/225/GCF_000013225.1_ASM1322v1/GCF_000013225.1_ASM1322v1_genomic.fna.gz
Novosphingobium_aromaticivorans	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/325/GCF_000013325.1_ASM1332v1/GCF_000013325.1_ASM1332v1_genomic.fna.gz
Frankia_casuarinae	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/345/GCF_000013345.1_ASM1334v1/GCF_000013345.1_ASM1334v1_genomic.fna.gz
Anaeromyxobacter_dehalogenans	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/145/GCF_000022145.1_ASM2214v1/GCF_000022145.1_ASM2214v1_genomic.fna.gz
Syntrophus_aciditrophicus	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/405/GCF_000013405.1_ASM1340v1/GCF_000013405.1_ASM1340v1_genomic.fna.gz
Methanospirillum_hungatei	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/445/GCF_000013445.1_ASM1344v1/GCF_000013445.1_ASM1344v1_genomic.fna.gz
Jannaschia_sp_CCS1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/565/GCF_000013565.1_ASM1356v1/GCF_000013565.1_ASM1356v1_genomic.fna.gz
Rhodoferax_ferrireducens	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/605/GCF_000013605.1_ASM1360v1/GCF_000013605.1_ASM1360v1_genomic.fna.gz
Janthinobacterium_sp_Marseille	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/625/GCF_000013625.1_ASM1362v1/GCF_000013625.1_ASM1362v1_genomic.fna.gz
Paraburkholderia_xenovorans	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/645/GCF_000013645.1_ASM1364v1/GCF_000013645.1_ASM1364v1_genomic.fna.gz
Saccharophagus_degradans	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/665/GCF_000013665.1_ASM1366v1/GCF_000013665.1_ASM1366v1_genomic.fna.gz
Methanococcoides_burtonii	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/725/GCF_000013725.1_ASM1372v1/GCF_000013725.1_ASM1372v1_genomic.fna.gz
Shewanella_denitrificans	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/765/GCF_000013765.1_ASM1376v1/GCF_000013765.1_ASM1376v1_genomic.fna.gz
Polaromonas_sp_JS666	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/865/GCF_000013865.1_ASM1386v1/GCF_000013865.1_ASM1386v1_genomic.fna.gz
Nitrobacter_hamburgensis	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/885/GCF_000013885.1_ASM1388v1/GCF_000013885.1_ASM1388v1_genomic.fna.gz
Sphingopyxis_alaskensis	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/985/GCF_000013985.1_ASM1398v1/GCF_000013985.1_ASM1398v1_genomic.fna.gz
Candidatus_Koribacter_versatilis	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/005/GCF_000014005.1_ASM1400v1/GCF_000014005.1_ASM1400v1_genomic.fna.gz
Ruegeria_sp_TM1040	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/065/GCF_000014065.1_ASM1406v1/GCF_000014065.1_ASM1406v1_genomic.fna.gz
Cytophaga_hutchinsonii	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/145/GCF_000014145.1_ASM1414v1/GCF_000014145.1_ASM1414v1_genomic.fna.gz
Chelativorans_sp_BNC1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/245/GCF_000014245.1_ASM1424v1/GCF_000014245.1_ASM1424v1_genomic.fna.gz
Trichodesmium_erythraeum	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/265/GCF_000014265.1_ASM1426v1/GCF_000014265.1_ASM1426v1_genomic.fna.gz
Rickettsia_canadensis	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/345/GCF_000014345.1_ASM1434v1/GCF_000014345.1_ASM1434v1_genomic.fna.gz
Synechococcus_sp_CC9311	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/585/GCF_000014585.1_ASM1458v1/GCF_000014585.1_ASM1458v1_genomic.fna.gz
Shewanella_sp_MR_7	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/665/GCF_000014665.1_ASM1466v1/GCF_000014665.1_ASM1466v1_genomic.fna.gz
Shewanella_sp_MR_4	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/685/GCF_000014685.1_ASM1468v1/GCF_000014685.1_ASM1468v1_genomic.fna.gz
Syntrophomonas_wolfei	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/725/GCF_000014725.1_ASM1472v1/GCF_000014725.1_ASM1472v1_genomic.fna.gz
Magnetococcus_marinus	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/865/GCF_000014865.1_ASM1486v1/GCF_000014865.1_ASM1486v1_genomic.fna.gz
Shewanella_piezotolerans	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/885/GCF_000014885.1_ASM1488v1/GCF_000014885.1_ASM1488v1_genomic.fna.gz
Candidatus_Solibacter_usitatus	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/905/GCF_000014905.1_ASM1490v1/GCF_000014905.1_ASM1490v1_genomic.fna.gz
Syntrophobacter_fumaroxidans	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/965/GCF_000014965.1_ASM1496v1/GCF_000014965.1_ASM1496v1_genomic.fna.gz
Acidothermus_cellulolyticus	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/025/GCF_000015025.1_ASM1502v1/GCF_000015025.1_ASM1502v1_genomic.fna.gz
Pelobacter_propionicus	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/045/GCF_000015045.1_ASM1504v1/GCF_000015045.1_ASM1504v1_genomic.fna.gz
Candidatus_Ruthia_magnifica	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/105/GCF_000015105.1_ASM1510v1/GCF_000015105.1_ASM1510v1_genomic.fna.gz
Chlorobium_phaeobacteroides	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/125/GCF_000015125.1_ASM1512v1/GCF_000015125.1_ASM1512v1_genomic.fna.gz
Hyperthermus_butylicus	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/145/GCF_000015145.1_ASM1514v1/GCF_000015145.1_ASM1514v1_genomic.fna.gz
Bradyrhizobium_sp_BTAi1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/165/GCF_000015165.1_ASM1516v1/GCF_000015165.1_ASM1516v1_genomic.fna.gz
Shewanella_sp_W3_18_1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/185/GCF_000015185.1_ASM1518v1/GCF_000015185.1_ASM1518v1_genomic.fna.gz
Pyrobaculum_islandicum	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/205/GCF_000015205.1_ASM1520v1/GCF_000015205.1_ASM1520v1_genomic.fna.gz
Thermofilum_pendens	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/225/GCF_000015225.1_ASM1522v1/GCF_000015225.1_ASM1522v1_genomic.fna.gz
Shewanella_amazonensis	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/245/GCF_000015245.1_ASM1524v1/GCF_000015245.1_ASM1524v1_genomic.fna.gz
Nocardioides_sp_JS614	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/265/GCF_000015265.1_ASM1526v1/GCF_000015265.1_ASM1526v1_genomic.fna.gz
Psychromonas_ingrahamii	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/285/GCF_000015285.1_ASM1528v1/GCF_000015285.1_ASM1528v1_genomic.fna.gz
Mycolicibacterium_vanbaalenii	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/305/GCF_000015305.1_ASM1530v1/GCF_000015305.1_ASM1530v1_genomic.fna.gz
Desulfovibrio_vulgaris	reference genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/755/GCF_000195755.1_ASM19575v1/GCF_000195755.1_ASM19575v1_genomic.fna.gz
Polaromonas_naphthalenivorans	representative genome	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/505/GCF_000015505.1_ASM1550v1/GCF_000015505.1_ASM1550v1_genomic.fna.gz
